"game_id","TEMPERATURE","WEATHER_CONDITION","WIND_SPEED","HUMIDITY","WIND_DIRECTION","created_date","create_user"
"61","82","Partly Cloudy","6","45","NE","2018-10-15 07:05:52.290000-04:00","mortimer"
"40","73","Partly Cloudy","27","69","SW","2018-10-15 07:05:52.290000-04:00","mortimer"
"19","68","Overcast","8","60","NE","2018-10-15 07:05:52.290000-04:00","mortimer"
"80","55","Sunny","15","51","SSE","2018-10-15 07:05:52.290000-04:00","mortimer"
"59","68","Partly Cloudy","0","60","S","2018-10-15 07:05:52.290000-04:00","mortimer"
"38","79","Partly Cloudy","11","65","SSE","2018-10-15 07:05:52.290000-04:00","mortimer"
"78","55","Sunny","0","47","ESE","2018-10-15 07:05:52.290000-04:00","mortimer"
"57","72","Partly Cloudy","12","61","S","2018-10-15 07:05:52.290000-04:00","mortimer"
"97","48","Sunny","12","71","SSW","2018-10-15 07:05:52.290000-04:00","mortimer"
"76","68","Clear","4","46","SE","2018-10-15 07:05:52.290000-04:00","mortimer"
"259","30","Overcast","16","100","W","2018-10-15 07:05:52.290000-04:00","mortimer"
"55","75","Partly Cloudy","0","54","N","2018-10-15 07:05:52.290000-04:00","mortimer"
"116","77","Sunny","4","34","N","2018-10-15 07:05:52.290000-04:00","mortimer"
"95","48","Partly Cloudy","6","66","W","2018-10-15 07:05:52.290000-04:00","mortimer"
"257","50","Mist","4","94","N","2018-10-15 07:05:52.290000-04:00","mortimer"
"114","56","Partly Cloudy","11","51","W","2018-10-15 07:05:52.290000-04:00","mortimer"
"93","55","Sunny","13","41","WNW","2018-10-15 07:05:52.290000-04:00","mortimer"
"72","68","Partly Cloudy","6","26","NNW","2018-10-15 07:05:52.290000-04:00","mortimer"
"112","76","Sunny","0","45","N","2018-10-15 07:05:52.290000-04:00","mortimer"
"91","65","Overcast","8","87","SE","2018-10-15 07:05:52.290000-04:00","mortimer"
"110","61","Overcast","15","39","NNW","2018-10-15 07:05:52.290000-04:00","mortimer"
"7","72","Sunny","9","53","ESE","2018-10-15 07:05:52.290000-04:00","mortimer"
"108","59","Partly Cloudy","15","63","SW","2018-10-15 07:05:52.290000-04:00","mortimer"
"26","82","Partly Cloudy","13","55","NW","2018-10-15 07:05:52.290000-04:00","mortimer"
"5","77","Sunny","8","47","NE","2018-10-15 07:05:52.290000-04:00","mortimer"
"24","64","Sunny","4","52","N","2018-10-15 07:05:52.290000-04:00","mortimer"
"3","90","Partly Cloudy","16","59","SE","2018-10-15 07:05:52.290000-04:00","mortimer"
"43","70","Partly Cloudy","24","73","W","2018-10-15 07:05:52.290000-04:00","mortimer"
"22","59","Overcast","0","59","N","2018-10-15 07:05:52.290000-04:00","mortimer"
"1","73","Sunny","11","50","WNW","2018-10-15 07:05:52.290000-04:00","mortimer"
"62","63","Mist","8","94","ESE","2018-10-15 07:05:52.290000-04:00","mortimer"
"20","59","Partly Cloudy","0","55","NE","2018-10-15 07:05:52.290000-04:00","mortimer"
"60","86","Partly Cloudy","0","37","N","2018-10-15 07:05:52.290000-04:00","mortimer"
"39","72","Mist","4","83","N","2018-10-15 07:05:52.290000-04:00","mortimer"
"18","70","Partly Cloudy","4","60","NNW","2018-10-15 07:05:52.290000-04:00","mortimer"
"79","61","Sunny","6","45","NNE","2018-10-15 07:05:52.290000-04:00","mortimer"
"58","83","Sunny","9","38","S","2018-10-15 07:05:52.290000-04:00","mortimer"
"37","72","Overcast","4","78","E","2018-10-15 07:05:52.290000-04:00","mortimer"
"98","76","Partly Cloudy","8","54","NNE","2018-10-15 07:05:52.290000-04:00","mortimer"
"77","84","Clear","16","62","SE","2018-10-15 07:05:52.290000-04:00","mortimer"
"260","48","Sunny","12","29","WNW","2018-10-15 07:05:52.290000-04:00","mortimer"
"56","70","Partly Cloudy","9","64","E","2018-10-15 07:05:52.290000-04:00","mortimer"
"96","46","Partly Cloudy","7","76","SSW","2018-10-15 07:05:52.290000-04:00","mortimer"
"75","48","Clear","0","71","N","2018-10-15 07:05:52.290000-04:00","mortimer"
"258","45","Light rain","11","81","SSE","2018-10-15 07:05:52.290000-04:00","mortimer"
"54","79","Partly Cloudy","0","48","N","2018-10-15 07:05:52.290000-04:00","mortimer"
"115","72","Sunny","4","69","SE","2018-10-15 07:05:52.290000-04:00","mortimer"
"94","56","Sunny","8","64","SSW","2018-10-15 07:05:52.290000-04:00","mortimer"
"73","81","Partly Cloudy","4","28","WNW","2018-10-15 07:05:52.290000-04:00","mortimer"
"113","69","Sunny","0","75","N","2018-10-15 07:05:52.290000-04:00","mortimer"
"92","65","Light rain","8","93","S","2018-10-15 07:05:52.290000-04:00","mortimer"
"111","77","Sunny","9","39","W","2018-10-15 07:05:52.290000-04:00","mortimer"
"90","59","Partly Cloudy","4","59","SSE","2018-10-15 07:05:52.290000-04:00","mortimer"
"8","68","Sunny","9","53","E","2018-10-15 07:05:52.290000-04:00","mortimer"
"109","61","Sunny","0","42","N","2018-10-15 07:05:52.290000-04:00","mortimer"
"6","75","Partly Cloudy","4","41","ENE","2018-10-15 07:05:52.290000-04:00","mortimer"
"25","64","Sunny","0","49","N","2018-10-15 07:05:52.290000-04:00","mortimer"
"4","75","Partly Cloudy","8","50","N","2018-10-15 07:05:52.290000-04:00","mortimer"
"44","95","Partly Cloudy","0","22","N","2018-10-15 07:05:52.290000-04:00","mortimer"
"23","64","Partly Cloudy","0","52","ESE","2018-10-15 07:05:52.290000-04:00","mortimer"
"2","84","Overcast","4","62","N","2018-10-15 07:05:52.290000-04:00","mortimer"
"42","85","Partly Cloudy","11","63","ENE","2018-10-15 07:05:52.290000-04:00","mortimer"
"101","46","Sunny","6","53","W","2018-10-15 07:05:52.290000-04:00","mortimer"
"263","25","Overcast","0","58","N","2018-10-15 07:05:52.290000-04:00","mortimer"
"120","78","Clear","7","58","SE","2018-10-15 07:05:52.290000-04:00","mortimer"
"99","54","Partly Cloudy","19","41","NW","2018-10-15 07:05:52.290000-04:00","mortimer"
"17","81","Overcast","0","79","N","2018-10-15 07:05:52.290000-04:00","mortimer"
"261","20","Sunny","9","54","WSW","2018-10-15 07:05:52.290000-04:00","mortimer"
"118","55","Sunny","19","51","W","2018-10-15 07:05:52.290000-04:00","mortimer"
"15","73","Sunny","8","50","SE","2018-10-15 07:05:52.290000-04:00","mortimer"
"34","66","Partly Cloudy","14","64","W","2018-10-15 07:05:52.290000-04:00","mortimer"
"13","84","Partly Cloudy","7","57","N","2018-10-15 07:05:52.290000-04:00","mortimer"
"53","79","Partly Cloudy","4","42","NE","2018-10-15 07:05:52.290000-04:00","mortimer"
"32","57","Light rain","4","88","W","2018-10-15 07:05:52.290000-04:00","mortimer"
"11","71","Sunny","8","57","E","2018-10-15 07:05:52.290000-04:00","mortimer"
"51","72","Sunny","7","50","WSW","2018-10-15 07:05:52.290000-04:00","mortimer"
"30","80","Partly Cloudy","0","17","W","2018-10-15 07:05:52.290000-04:00","mortimer"
"70","61","Sunny","0","36","SW","2018-10-15 07:05:52.290000-04:00","mortimer"
"49","64","Overcast","4","88","N","2018-10-15 07:05:52.290000-04:00","mortimer"
"28","70","Partly Cloudy","11","64","W","2018-10-15 07:05:52.290000-04:00","mortimer"
"89","84","Sunny","0","40","SW","2018-10-15 07:05:52.290000-04:00","mortimer"
"68","73","Partly Cloudy","9","38","E","2018-10-15 07:05:52.290000-04:00","mortimer"
"47","81","Partly Cloudy","4","54","SW","2018-10-15 07:05:52.290000-04:00","mortimer"
"87","63","Partly Cloudy","6","68","SW","2018-10-15 07:05:52.290000-04:00","mortimer"
"66","57","Partly Cloudy","13","44","WSW","2018-10-15 07:05:52.290000-04:00","mortimer"
"106","55","Partly Cloudy","7","51","S","2018-10-15 07:05:52.290000-04:00","mortimer"
"85","55","Overcast","6","72","NNE","2018-10-15 07:05:52.290000-04:00","mortimer"
"64","54","Partly Cloudy","14","50","S","2018-10-15 07:05:52.290000-04:00","mortimer"
"83","84","Partly Cloudy","0","62","ESE","2018-10-15 07:05:52.290000-04:00","mortimer"
"102","73","Partly Cloudy","9","61","WSW","2018-10-15 07:05:52.290000-04:00","mortimer"
"81","88","Partly Cloudy","15","63","E","2018-10-15 07:05:52.290000-04:00","mortimer"
"264","41","Partly Cloudy","8","62","N","2018-10-15 07:05:52.290000-04:00","mortimer"
"121","83","Clear","15","38","SSE","2018-10-15 07:05:52.290000-04:00","mortimer"
"100","41","Partly Cloudy","9","56","WNW","2018-10-15 07:05:52.290000-04:00","mortimer"
"262","48","Mist","0","87","N","2018-10-15 07:05:52.290000-04:00","mortimer"
"119","61","Sunny","14","23","NW","2018-10-15 07:05:52.290000-04:00","mortimer"
"16","100","Partly Cloudy","7","29","SW","2018-10-15 07:05:52.290000-04:00","mortimer"
"117","84","Partly Cloudy","6","40","SSW","2018-10-15 07:05:52.290000-04:00","mortimer"
"35","77","Partly Cloudy","15","61","W","2018-10-15 07:05:52.290000-04:00","mortimer"
"14","77","Partly Cloudy","11","24","SSW","2018-10-15 07:05:52.290000-04:00","mortimer"
"33","81","Clear","0","51","N","2018-10-15 07:05:52.290000-04:00","mortimer"
"12","88","Partly Cloudy","4","49","W","2018-10-15 07:05:52.290000-04:00","mortimer"
"31","79","Partly Cloudy","11","48","W","2018-10-15 07:05:52.290000-04:00","mortimer"
"10","75","Partly Cloudy","8","48","N","2018-10-15 07:05:52.290000-04:00","mortimer"
"71","71","Sunny","11","27","N","2018-10-15 07:05:52.290000-04:00","mortimer"
"50","82","Partly Cloudy","6","70","NE","2018-10-15 07:05:52.290000-04:00","mortimer"
"29","63","Sunny","17","52","S","2018-10-15 07:05:52.290000-04:00","mortimer"
"69","54","Overcast","17","50","SW","2018-10-15 07:05:52.290000-04:00","mortimer"
"48","63","Clear","14","42","NW","2018-10-15 07:05:52.290000-04:00","mortimer"
"88","81","Partly Cloudy","4","58","ESE","2018-10-15 07:05:52.290000-04:00","mortimer"
"67","63","Partly Cloudy","12","36","SSW","2018-10-15 07:05:52.290000-04:00","mortimer"
"46","77","Sunny","7","47","SE","2018-10-15 07:05:52.290000-04:00","mortimer"
"107","69","Partly Cloudy","0","24","N","2018-10-15 07:05:52.290000-04:00","mortimer"
"86","70","Sunny","6","73","W","2018-10-15 07:05:52.290000-04:00","mortimer"
"105","70","Partly Cloudy","0","23","ENE","2018-10-15 07:05:52.290000-04:00","mortimer"
"82","63","Overcast","4","100","S","2018-10-15 07:05:52.290000-04:00","mortimer"
